mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	slur
65	65	513/4	513/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	596		
65	65	257/2	257/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	597		
65	65	515/4	515/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	598		
65	65	129	129	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	599		
65	65	128	128	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	600		
65	65	129	129	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	601		
65	65	517/4	517/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	602		
65	65	259/2	259/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	603		
65	65	519/4	519/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	604		
66	66	130	130	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	605		
66	66	263/2	263/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	606		
66	66	130	130	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	607		
66	66	521/4	521/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	608		
66	66	261/2	261/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	609		
66	66	523/4	523/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	610		
66	66	131	131	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	611		
66	66	525/4	525/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	612		
66	66	263/2	263/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	613		
66	66	527/4	527/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	614		
67	67	132	132	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	615		
67	67	267/2	267/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	616		
67	67	132	132	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	617		
67	67	529/4	529/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	618		
67	67	265/2	265/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	619		
67	67	531/4	531/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	620		
67	67	133	133	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	621		
67	67	533/4	533/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	622		
67	67	267/2	267/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	623		
67	67	535/4	535/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	624		
68	68	134	134	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	625		
68	68	135	135	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	626		
68	68	134	134	0.25	0	0	Chord	2/4	2	1	1/16	1/16	1	627		
68	68	537/4	537/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	628		
68	68	269/2	269/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16	1/16	1	629		
68	68	539/4	539/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	630		
68	68	135	135	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	631		
68	68	541/4	541/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	632		
68	68	271/2	271/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	633		
68	68	543/4	543/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	634		
69	69	136	136	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	635	ornamentTrill	
69	69	273/2	273/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	636		
69	69	547/4	547/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	637		
69	69	137	137	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	638		
69	69	275/2	275/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	639		
69	69	137	137	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	640		
69	69	275/2	275/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	641		
69	69	136	136	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	642		
69	69	273/2	273/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	643		
69	69	137	137	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	644		
69	69	275/2	275/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	645		
70	70	138	138	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	646		
70	70	138	138	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	647		
70	70	138	138	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	648		
70	70	277/2	277/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	649		
70	70	139	139	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	650		
70	70	279/2	279/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	651		
71	71	140	140	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	652		
71	71	561/4	561/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	653		
71	71	281/2	281/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	654		
71	71	563/4	563/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	655		
71	71	141	141	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	656		
71	71	565/4	565/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	657		
71	71	283/2	283/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	658		
71	71	567/4	567/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	659		
71	71	140	140	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	660		
71	71	141	141	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	661		
72	72	142	142	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	662		
72	72	569/4	569/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	663		
72	72	285/2	285/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	664		
72	72	571/4	571/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	665		
72	72	143	143	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	666		
72	72	573/4	573/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	667		
72	72	287/2	287/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	668		
72	72	575/4	575/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	669		
72	72	142	142	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	670		
72	72	143	143	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	671		
73	73	144	144	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	672		
73	73	577/4	577/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	673		
73	73	289/2	289/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	674		
73	73	579/4	579/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	675		
73	73	145	145	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	676		
73	73	581/4	581/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	677		
73	73	291/2	291/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	678		
73	73	583/4	583/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	679		
73	73	144	144	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	680		
73	73	145	145	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	681		
74	74	146	146	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	682		
74	74	585/4	585/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	683		
74	74	293/2	293/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	684		
74	74	587/4	587/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	685		
74	74	147	147	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	686		
74	74	589/4	589/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	687		
74	74	295/2	295/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	688		
74	74	591/4	591/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	689		
74	74	146	146	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	690		
74	74	147	147	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	691		
75	75	148	148	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	692		
75	75	593/4	593/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	693		
75	75	297/2	297/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	694		
75	75	595/4	595/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	695		
75	75	149	149	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	696		
75	75	148	148	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	697		
75	75	149	149	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	698		
75	75	597/4	597/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	699		
75	75	299/2	299/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	700		
75	75	599/4	599/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	701		
76	76	150	150	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	702		
76	76	601/4	601/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	703		
76	76	301/2	301/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	704		
76	76	603/4	603/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	705		
76	76	151	151	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	706		
76	76	605/4	605/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	707		
76	76	303/2	303/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	708		
76	76	607/4	607/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	709		
76	76	150	150	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	710		
76	76	151	151	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	711		
77	77	152	152	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	712		
77	77	609/4	609/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	713		
77	77	305/2	305/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	714		
77	77	611/4	611/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	715		
77	77	153	153	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	716		
77	77	613/4	613/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	717		
77	77	307/2	307/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	718		
77	77	615/4	615/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	719		
77	77	152	152	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	720		
77	77	153	153	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	721		
78	78	154	154	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	722		
78	78	617/4	617/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	723		
78	78	309/2	309/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	724		
78	78	619/4	619/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	725		
78	78	155	155	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	726		
78	78	621/4	621/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	727		
78	78	311/2	311/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	728		
78	78	623/4	623/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	729		
78	78	154	154	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	730		
78	78	155	155	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	731		
79	79	156	156	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	732		
79	79	625/4	625/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	733		
79	79	313/2	313/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	734		
79	79	627/4	627/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	735		
79	79	157	157	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	736		
79	79	315/2	315/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	737		
79	79	157	157	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	738		
79	79	315/2	315/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	739		
79	79	156	156	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	740		
79	79	157	157	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	741		
79	79	315/2	315/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	742		
79	79	156	156	0.5	0	0	Chord	2/4	2	2	1/8	1/8	1	743		
79	79	313/2	313/2	0.5	1/8	1/8	Chord	2/4	2	2	1/8	1/8	1	744		
80	80	158	158	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	745		
80	80	158	158	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	746		
80	80	317/2	317/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	747		
80	80	159	159	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	748		
80	80	319/2	319/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	749		
81	81	160	160	0.16666666666666666	0	0	Chord	2/4	1	1	1/24	1/16	2/3	750		
81	81	961/6	961/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24	1/16	2/3	751		
81	81	481/3	481/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24	1/16	2/3	752		
81	81	321/2	321/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24	1/16	2/3	753		
81	81	482/3	482/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24	1/16	2/3	754		
81	81	965/6	965/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24	1/16	2/3	755		
81	81	161	161	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	756		
81	81	323/2	323/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	757		
81	81	160	160	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	758		
81	81	323/2	323/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	759		
82	82	162	162	0.16666666666666666	0	0	Chord	2/4	1	1	1/24	1/16	2/3	760		
82	82	973/6	973/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24	1/16	2/3	761		
82	82	487/3	487/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24	1/16	2/3	762		
82	82	325/2	325/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24	1/16	2/3	763		
82	82	488/3	488/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24	1/16	2/3	764		
82	82	977/6	977/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24	1/16	2/3	765		
82	82	163	163	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	766		
82	82	327/2	327/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	767		
82	82	162	162	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	768		
82	82	325/2	325/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	769		
82	82	327/2	327/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	770		
82	82	163	163	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	771		
82	82	327/2	327/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	772		
83	83	164	164	0.16666666666666666	0	0	Chord	2/4	1	1	1/24	1/16	2/3	773		
83	83	985/6	985/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24	1/16	2/3	774		
83	83	493/3	493/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24	1/16	2/3	775		
83	83	329/2	329/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24	1/16	2/3	776		
83	83	494/3	494/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24	1/16	2/3	777		
83	83	989/6	989/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24	1/16	2/3	778		
83	83	165	165	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24	1/16	2/3	779		
83	83	991/6	991/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24	1/16	2/3	780		
83	83	496/3	496/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24	1/16	2/3	781		
83	83	331/2	331/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24	1/16	2/3	782		
83	83	497/3	497/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24	1/16	2/3	783		
83	83	995/6	995/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24	1/16	2/3	784		
83	83	164	164	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	785		
83	83	329/2	329/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	786		
83	83	165	165	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	787		
83	83	331/2	331/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	788		
84	84	166	166	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	789	ornamentTrill	
84	84	333/2	333/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	790		
84	84	667/4	667/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	791		
84	84	167	167	0.25	1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	792		
84	84	669/4	669/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	793		
84	84	335/2	335/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	794		
84	84	671/4	671/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	795		
84	84	166	166	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	796		
84	84	167	167	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	797		
85	85	168	168	0.16666666666666666	0	0	Chord	2/4	1	1	1/24	1/16	2/3	798		
85	85	1009/6	1009/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24	1/16	2/3	799		
85	85	505/3	505/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24	1/16	2/3	800		
85	85	337/2	337/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24	1/16	2/3	801		
85	85	506/3	506/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24	1/16	2/3	802		
85	85	1013/6	1013/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24	1/16	2/3	803		
85	85	169	169	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24	1/16	2/3	804		
85	85	1015/6	1015/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24	1/16	2/3	805		
85	85	508/3	508/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24	1/16	2/3	806		
85	85	339/2	339/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24	1/16	2/3	807		
85	85	509/3	509/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24	1/16	2/3	808		
85	85	1019/6	1019/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24	1/16	2/3	809		
85	85	168	168	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	810		
86	86	170	170	0.16666666666666666	0	0	Chord	2/4	1	1	1/24	1/16	2/3	811		
86	86	1021/6	1021/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24	1/16	2/3	812		
86	86	511/3	511/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24	1/16	2/3	813		
86	86	341/2	341/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24	1/16	2/3	814		
86	86	512/3	512/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24	1/16	2/3	815		
86	86	1025/6	1025/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24	1/16	2/3	816		
86	86	171	171	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	817		
86	86	343/2	343/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	818		
86	86	170	170	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	819		
86	86	343/2	343/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	820		
87	87	172	172	0.16666666666666666	0	0	Chord	2/4	1	1	1/24	1/16	2/3	821		
87	87	1033/6	1033/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24	1/16	2/3	822		
87	87	517/3	517/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24	1/16	2/3	823		
87	87	345/2	345/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24	1/16	2/3	824		
87	87	518/3	518/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24	1/16	2/3	825		
87	87	1037/6	1037/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24	1/16	2/3	826		
87	87	173	173	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	827		
87	87	347/2	347/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	828		
87	87	172	172	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	829		
87	87	345/2	345/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	830		
87	87	347/2	347/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	831		
87	87	173	173	0.5	1/4	1/4	Chord	2/4	2	2	1/8	1/8	1	832		
87	87	347/2	347/2	0.5	3/8	3/8	Chord	2/4	2	2	1/8	1/8	1	833		
88	88	174	174	0.16666666666666666	0	0	Chord	2/4	1	1	1/24	1/16	2/3	834		
88	88	1045/6	1045/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24	1/16	2/3	835		
88	88	523/3	523/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24	1/16	2/3	836		
88	88	349/2	349/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24	1/16	2/3	837		
88	88	524/3	524/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24	1/16	2/3	838		
88	88	1049/6	1049/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24	1/16	2/3	839		
88	88	175	175	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24	1/16	2/3	840		
88	88	1051/6	1051/6	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24	1/16	2/3	841		
88	88	526/3	526/3	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24	1/16	2/3	842		
88	88	351/2	351/2	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24	1/16	2/3	843		
88	88	527/3	527/3	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24	1/16	2/3	844		
88	88	1055/6	1055/6	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24	1/16	2/3	845		
88	88	174	174	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	846		
88	88	349/2	349/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	847		
88	88	175	175	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	848		
88	88	351/2	351/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	849		
89	89	176	176	0.16666666666666666	0	0	Chord	2/4	1	1	1/24	1/16	2/3	850		
89	89	1057/6	1057/6	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24	1/16	2/3	851		
89	89	529/3	529/3	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24	1/16	2/3	852		
89	89	353/2	353/2	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24	1/16	2/3	853		
89	89	530/3	530/3	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24	1/16	2/3	854		
89	89	1061/6	1061/6	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24	1/16	2/3	855		
89	89	177	177	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	856		
89	89	355/2	355/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	857		
89	89	176	176	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	858		
89	89	353/2	353/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	859		
89	89	177	177	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	860		
89	89	355/2	355/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	861		
90	90	178	178	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	862		
90	90	178	178	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	863		
90	90	357/2	357/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	864		
90	90	179	179	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	865		
90	90	359/2	359/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	866		
91	91	180	180	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	867		
91	91	363/2	363/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	868		
91	91	361/2	361/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	869		
91	91	181	181	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	870		
91	91	180	180	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	871		
91	91	363/2	363/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	872		
92	92	182	182	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	873		
92	92	367/2	367/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	874		
92	92	182	182	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	875		
92	92	365/2	365/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	876		
92	92	183	183	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	877		
92	92	182	182	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	878		
92	92	367/2	367/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	879		
93	93	184	184	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	880		
93	93	737/4	737/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	881		
93	93	369/2	369/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	882		
