mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	slur
87	87	517/4	517/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	592		
87	87	259/2	259/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	593		
87	87	130	130	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	594		
87	87	129	129	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	595		
87	87	130	130	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	596		
88	88	261/2	261/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	597		
88	88	1045/8	1045/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	598		
88	88	523/4	523/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	599		
88	88	131	131	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	600		
88	88	263/2	263/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	601		
88	88	261/2	261/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	602		
88	88	263/2	263/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	603		
89	89	132	132	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	604		
89	89	1057/8	1057/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	605		
89	89	529/4	529/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	606		
89	89	265/2	265/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	607		
89	89	133	133	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	608		
89	89	132	132	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	609		
89	89	133	133	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	610		
90	90	267/2	267/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	611		
90	90	1069/8	1069/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	612		
90	90	535/4	535/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	613		
90	90	134	134	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	614		
90	90	269/2	269/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	615		
90	90	267/2	267/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	616		
90	90	269/2	269/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	617		
91	91	135	135	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	618		
91	91	1081/8	1081/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	619		
91	91	541/4	541/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	620		
91	91	271/2	271/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	621		
91	91	136	136	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	622		
91	91	135	135	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	623		
91	91	136	136	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	624		
92	92	273/2	273/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	625		
92	92	1093/8	1093/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	626		
92	92	547/4	547/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	627		
92	92	137	137	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	628		
92	92	275/2	275/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	629		
92	92	273/2	273/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	630		
92	92	275/2	275/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	631		
93	93	138	138	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	632		8
93	93	1105/8	1105/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	633		8
93	93	553/4	553/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	634		
93	93	277/2	277/2	0.125	1/8	1/8	Chord	3/8	1	1	1/32		1/32	1	635		9
93	93	1109/8	1109/8	0.125	5/32	5/32	Chord	3/8	1	1	1/32		1/32	1	636		9
93	93	555/4	555/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	637		
93	93	139	139	0.125	1/4	1/4	Chord	3/8	1	1	1/32		1/32	1	638		10
93	93	1113/8	1113/8	0.125	9/32	9/32	Chord	3/8	1	1	1/32		1/32	1	639		10
93	93	557/4	557/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	640		
93	93	138	138	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	641		
93	93	138	138	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	642		
93	93	277/2	277/2	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	643		
93	93	139	139	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	644		
94	94	279/2	279/2	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	645		
94	94	1119/8	1119/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	646		
94	94	140	140	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	647		
94	94	1123/8	1123/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	648		
94	94	281/2	281/2	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	649		
94	94	1127/8	1127/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	650		
94	94	279/2	279/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	651		
94	94	279/2	279/2	0.5	0	0	Chord	3/8	2	2	1/8		1/8	1	652		
94	94	140	140	0.5	1/8	1/8	Chord	3/8	2	2	1/8		1/8	1	653		
94	94	281/2	281/2	0.5	1/4	1/4	Chord	3/8	2	2	1/8		1/8	1	654		
95	95	141	141	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	655		
95	95	1131/8	1131/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	656		
95	95	283/2	283/2	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	657		
95	95	1135/8	1135/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	658		
95	95	142	142	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	659		
95	95	1139/8	1139/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	660		
95	95	141	141	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	661		
95	95	283/2	283/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	662		
95	95	142	142	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	663		
96	96	285/2	285/2	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	664		
96	96	1143/8	1143/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	665		
96	96	143	143	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	666		
96	96	1147/8	1147/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	667		
96	96	287/2	287/2	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	668		
96	96	1151/8	1151/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	669		
96	96	285/2	285/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	670		
96	96	143	143	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	671		
96	96	287/2	287/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	672		
97	97	144	144	0.5	0	0	Chord	3/8	1	1	1/8		1/8	1	673	ornamentTrill	
97	97	289/2	289/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	674		
97	97	579/4	579/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	675		
97	97	145	145	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	676		
97	97	144	144	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	677		
98	98	291/2	291/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	678		
98	98	1165/8	1165/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	679		
98	98	583/4	583/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	680		
98	98	146	146	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	681		
98	98	293/2	293/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	682		
98	98	291/2	291/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	683		
98	98	293/2	293/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	684		
99	99	147	147	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	685		
99	99	1177/8	1177/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	686		
99	99	589/4	589/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	687		
99	99	295/2	295/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	688		
99	99	148	148	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	689		
99	99	147	147	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	690		
99	99	148	148	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	691		
100	100	297/2	297/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	692		
100	100	1189/8	1189/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	693		
100	100	595/4	595/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	694		
100	100	149	149	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	695		
100	100	299/2	299/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	696		
100	100	297/2	297/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	697		
100	100	299/2	299/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	698		
101	101	150	150	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	699		
101	101	1203/8	1203/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	700		
101	101	301/2	301/2	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	701		
101	101	1207/8	1207/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	702		
101	101	151	151	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	703		
101	101	1211/8	1211/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	704		
101	101	150	150	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	705		
101	101	301/2	301/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	706		
101	101	151	151	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	707		
102	102	303/2	303/2	0.0	0	0	Chord	3/8	1	1	0	grace32	1/32	1	708		
102	102	303/2	303/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	709	ornamentTrill	
102	102	303/2	303/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	710		
103	103	153	153	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	711		
103	103	1225/8	1225/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	712		
103	103	613/4	613/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	713		
103	103	307/2	307/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	714		
103	103	154	154	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	715		
103	103	153	153	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	716		
103	103	154	154	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	717		
104	104	309/2	309/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	718		
104	104	1237/8	1237/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	719		
104	104	619/4	619/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	720		
104	104	155	155	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	721		
104	104	311/2	311/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	722		
104	104	309/2	309/2	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	723		
104	104	311/2	311/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	724		
105	105	156	156	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	725		
105	105	1249/8	1249/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	726		
105	105	625/4	625/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	727		
105	105	313/2	313/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	728		
105	105	157	157	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	729		
105	105	156	156	1.0	0	0	Chord	3/8	2	1	1/4		1/4	1	730		
105	105	157	157	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	731		
106	106	315/2	315/2	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	732		
106	106	1263/8	1263/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	733		
106	106	158	158	0.375	1/8	1/8	Chord	3/8	1	1	3/32		1/16	3/2	734		
106	106	1267/8	1267/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	735		
106	106	317/2	317/2	0.375	1/4	1/4	Chord	3/8	1	1	3/32		1/16	3/2	736		
106	106	1271/8	1271/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	737		
106	106	315/2	315/2	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	738		
106	106	158	158	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	739		
106	106	317/2	317/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	740		
107	107	159	159	0.375	0	0	Chord	3/8	1	1	3/32		1/16	3/2	741		
107	107	1275/8	1275/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	742		
107	107	319/2	319/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	743		
107	107	160	160	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	744	ornamentTrill	
107	107	159	159	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	745		
107	107	319/2	319/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	746		
107	107	160	160	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	747		
108	108	321/2	321/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	748		
108	108	1285/8	1285/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	749		
108	108	643/4	643/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	750		
108	108	161	161	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	751		
108	108	323/2	323/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	752		
108	108	321/2	321/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	753		
109	109	162	162	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	754		
109	109	162	162	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	755		
109	109	1297/8	1297/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	756		
109	109	649/4	649/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	757		
109	109	325/2	325/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	758		
109	109	163	163	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	759		
110	110	327/2	327/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	760		
110	110	1309/8	1309/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	761		
110	110	655/4	655/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	762		
110	110	164	164	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	763		
110	110	329/2	329/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	764		
110	110	327/2	327/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	765		
111	111	165	165	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	766		
111	111	165	165	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	767		
111	111	1321/8	1321/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	768		
111	111	661/4	661/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	769		
111	111	331/2	331/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	770		
111	111	166	166	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	771		
112	112	333/2	333/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	772		
112	112	1333/8	1333/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	773		
112	112	667/4	667/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	774		
112	112	167	167	0.5	1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	775		
112	112	335/2	335/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	776		
112	112	333/2	333/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	777		
113	113	168	168	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	778		
113	113	168	168	0.125	0	0	Chord	3/8	2	1	1/32		1/32	1	779		
113	113	1345/8	1345/8	0.125	1/32	1/32	Chord	3/8	2	1	1/32		1/32	1	780		
113	113	673/4	673/4	0.25	1/16	1/16	Chord	3/8	2	1	1/16		1/16	1	781		
113	113	337/2	337/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	782		
113	113	169	169	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	783		
114	114	339/2	339/2	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	784		
114	114	1357/8	1357/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	785		
114	114	679/4	679/4	0.125	1/16	1/16	Chord	3/8	1	1	1/32		1/32	1	786		
114	114	1359/8	1359/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	787		
114	114	170	170	0.125	1/8	1/8	Chord	3/8	1	1	1/32		1/32	1	788		
114	114	1361/8	1361/8	0.125	5/32	5/32	Chord	3/8	1	1	1/32		1/32	1	789		
114	114	681/4	681/4	0.125	3/16	3/16	Chord	3/8	1	1	1/32		1/32	1	790		
114	114	1363/8	1363/8	0.125	7/32	7/32	Chord	3/8	1	1	1/32		1/32	1	791		
114	114	341/2	341/2	0.125	1/4	1/4	Chord	3/8	1	1	1/32		1/32	1	792		
114	114	1365/8	1365/8	0.125	9/32	9/32	Chord	3/8	1	1	1/32		1/32	1	793		
114	114	683/4	683/4	0.125	5/16	5/16	Chord	3/8	1	1	1/32		1/32	1	794		
114	114	1367/8	1367/8	0.125	11/32	11/32	Chord	3/8	1	1	1/32		1/32	1	795		
114	114	339/2	339/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	796		
115	115	171	171	0.125	0	0	Chord	3/8	1	1	1/32		1/32	1	797		
115	115	1369/8	1369/8	0.125	1/32	1/32	Chord	3/8	1	1	1/32		1/32	1	798		
115	115	685/4	685/4	0.125	1/16	1/16	Chord	3/8	1	1	1/32		1/32	1	799		
115	115	1371/8	1371/8	0.125	3/32	3/32	Chord	3/8	1	1	1/32		1/32	1	800		
115	115	343/2	343/2	0.75	1/8	1/8	Chord	3/8	1	1	3/16		1/8	3/2	801	ornamentTrill	
115	115	689/4	689/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	802		
115	115	171	171	0.5	0	0	Chord	3/8	2	1	1/8		1/8	1	803		
115	115	343/2	343/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	804		
115	115	172	172	0.5	1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	805		
116	116	345/2	345/2	1.5	0	0	Chord	3/8	1	1	3/8		1/4	3/2	806		
116	116	345/2	345/2	1.5	0	0	Chord	3/8	2	1	3/8		1/4	3/2	807		
